               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.025066,            0.015123,           0.0009832,             0.86511,             0.78438,             0.82172,             0.60161,            0.030464,           0.0097174,           0.0024981,            0.003367,            0.003367,            0.003367
                  69,            0.025268,            0.014903,           0.0010044,              0.8568,             0.78936,             0.81807,             0.59528,            0.030505,            0.009821,           0.0024855,            0.003268,            0.003268,            0.003268
                  70,            0.024655,            0.014665,          0.00090277,             0.87211,             0.77162,             0.81639,             0.59528,            0.030562,             0.00982,           0.0025663,            0.003169,            0.003169,            0.003169
                  71,            0.024917,            0.014766,          0.00090178,             0.86104,             0.77596,              0.8156,             0.59536,             0.03045,           0.0099185,           0.0024139,             0.00307,             0.00307,             0.00307
                  72,             0.02471,            0.014643,          0.00087125,             0.86851,             0.77611,             0.81449,             0.59697,             0.03044,           0.0098213,           0.0024065,            0.002971,            0.002971,            0.002971
                  73,            0.024527,            0.014643,          0.00096896,             0.87539,             0.77485,               0.821,             0.59679,            0.030598,           0.0097805,            0.002542,            0.002872,            0.002872,            0.002872
                  74,            0.024401,            0.014443,          0.00087956,              0.8665,             0.77545,             0.81786,             0.59758,            0.030569,           0.0098323,           0.0026105,            0.002773,            0.002773,            0.002773
                  75,            0.024427,            0.014746,          0.00096968,             0.88119,             0.76943,             0.81738,             0.59822,            0.030494,           0.0098172,           0.0025972,            0.002674,            0.002674,            0.002674
                  76,            0.024247,            0.014502,          0.00084835,             0.88741,             0.76712,              0.8211,              0.6014,            0.030687,           0.0098387,           0.0026217,            0.002575,            0.002575,            0.002575
                  77,            0.023927,            0.014321,          0.00092072,             0.87889,             0.77449,             0.82001,             0.59972,             0.03042,           0.0098223,           0.0025794,            0.002476,            0.002476,            0.002476
                  78,            0.023562,            0.014027,          0.00086152,             0.88253,             0.77892,             0.81912,             0.60058,            0.030421,           0.0098004,           0.0025383,            0.002377,            0.002377,            0.002377
                  79,            0.023417,            0.013965,          0.00081399,             0.89054,             0.76484,              0.8206,              0.6009,            0.030661,           0.0098534,           0.0025413,            0.002278,            0.002278,            0.002278
                  80,            0.023241,            0.014045,          0.00078592,             0.86491,             0.78543,             0.82062,             0.59778,            0.030695,           0.0099169,           0.0026601,            0.002179,            0.002179,            0.002179
                  81,            0.023175,            0.014064,          0.00072725,             0.88086,              0.7737,             0.81869,             0.59917,            0.030397,           0.0099844,           0.0027059,             0.00208,             0.00208,             0.00208
                  82,            0.022497,            0.013581,          0.00075939,             0.88456,             0.77375,             0.81876,             0.60106,            0.030526,           0.0099804,           0.0027421,            0.001981,            0.001981,            0.001981
                  83,            0.022807,            0.013619,           0.0007566,             0.87079,             0.77129,             0.82013,             0.60119,            0.030497,           0.0099671,           0.0028605,            0.001882,            0.001882,            0.001882
                  84,            0.022357,            0.013572,          0.00071337,             0.86544,             0.77992,             0.81719,             0.59971,            0.030304,            0.010059,            0.002774,            0.001783,            0.001783,            0.001783
                  85,            0.022554,            0.013724,          0.00068228,             0.87255,             0.78071,             0.82194,             0.60336,            0.030334,            0.010057,           0.0028905,            0.001684,            0.001684,            0.001684
                  86,              0.0218,             0.01321,          0.00064566,             0.86542,             0.78616,             0.82027,             0.60606,            0.030374,            0.010003,           0.0029248,            0.001585,            0.001585,            0.001585
                  87,            0.022126,            0.013353,          0.00062105,             0.87677,             0.77485,             0.81996,              0.6039,            0.030432,            0.010063,           0.0031498,            0.001486,            0.001486,            0.001486
                  88,            0.021683,            0.012988,          0.00056758,             0.87796,             0.77575,             0.82056,             0.60673,            0.030208,            0.010082,           0.0030706,            0.001387,            0.001387,            0.001387
                  89,            0.021624,            0.013196,          0.00060324,             0.88221,             0.78043,             0.82082,              0.6086,             0.03016,            0.010081,           0.0029506,            0.001288,            0.001288,            0.001288
                  90,            0.021571,            0.013145,          0.00061683,             0.87777,             0.77737,             0.82097,             0.60993,            0.030164,            0.010052,           0.0029302,            0.001189,            0.001189,            0.001189
                  91,            0.021167,            0.012898,          0.00062574,             0.86304,             0.79507,             0.82003,             0.60696,            0.030156,            0.010117,           0.0028353,             0.00109,             0.00109,             0.00109
                  92,            0.021135,              0.0127,          0.00057336,              0.8736,             0.78406,             0.81907,             0.60549,            0.030176,            0.010192,           0.0028212,            0.000991,            0.000991,            0.000991
                  93,            0.020726,            0.012614,          0.00050611,             0.86515,             0.79665,             0.82004,             0.60943,            0.029974,            0.010174,           0.0027892,            0.000892,            0.000892,            0.000892
                  94,            0.020977,            0.012905,          0.00059832,             0.87095,             0.78913,             0.82182,             0.61048,            0.029897,            0.010164,           0.0029108,            0.000793,            0.000793,            0.000793
                  95,            0.021114,            0.013034,          0.00053718,             0.86823,             0.78726,             0.81807,             0.61184,            0.029893,            0.010182,           0.0029936,            0.000694,            0.000694,            0.000694
                  96,            0.020473,            0.012368,          0.00047289,             0.84437,             0.80418,             0.82159,             0.61434,            0.029858,            0.010194,           0.0029661,            0.000595,            0.000595,            0.000595
                  97,            0.020436,            0.012457,          0.00053159,             0.85209,             0.80197,             0.82091,             0.61407,            0.029798,            0.010227,           0.0029331,            0.000496,            0.000496,            0.000496
                  98,            0.020258,            0.012496,          0.00051317,             0.85962,             0.79598,             0.81966,              0.6138,            0.029803,            0.010251,           0.0029329,            0.000397,            0.000397,            0.000397
                  99,            0.020037,            0.012207,          0.00055407,             0.85713,             0.79893,             0.81951,              0.6133,            0.029811,            0.010242,           0.0029551,            0.000298,            0.000298,            0.000298
